2020-10-09/16:23:29		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-09/16:23:30		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-09/16:23:31		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-09/16:23:32		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-09/16:23:34		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-09/16:23:35		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-09/16:23:37		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-09/16:23:38		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-09/16:23:38		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-10-09/16:50:34		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-09/16:50:35		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-09/16:50:35		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-09/16:50:37		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-09/16:50:38		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-09/16:50:39		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-09/16:50:42		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-09/16:50:45		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-09/16:50:46		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-10-15/11:11:38		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-15/11:11:39		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-15/11:11:39		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-15/11:11:41		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-15/11:11:42		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-15/11:11:42		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-15/11:11:43		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-15/11:11:43		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-15/11:11:44		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-08/22:09:35		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-08/22:09:48		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-08/22:09:48		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-08/22:09:49		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-08/22:09:49		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-08/22:09:50		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-08/22:09:50		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-08/22:09:51		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-08/22:09:51		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-09/18:45:45		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-09/18:45:45		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-09/18:45:45		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-09/18:45:46		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-09/18:45:46		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-09/18:45:47		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-09/18:45:47		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-09/18:45:48		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-09/18:45:48		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-01-26/10:03:27		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-01-26/10:03:29		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-01-26/10:03:30		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-01-26/10:03:31		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-01-26/10:03:33		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-01-26/10:03:35		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-01-26/10:03:37		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-01-26/10:03:40		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-01-26/10:03:41		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-01-26/15:37:15		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-01-26/15:37:17		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-01-26/15:37:18		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-01-26/15:37:19		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-01-26/15:37:22		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-01-26/15:37:23		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-01-26/15:37:26		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-01-26/15:37:28		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-01-26/15:37:30		 wafer_29012020_050617.csv: File Transformed successfully!!
